HS,Name
0101,Horses
0102,Bovine
0103,Pigs
0104,Sheep and Goats
0105,Poultry
0106,Other Animals
0201,Bovine Meat
0202,Frozen Bovine Meat
0203,Pig Meat
0204,Sheep and Goat Meat
0205,Horse Meat
0206,Edible Offal
0207,Poultry Meat
0208,Other Meat
0209,Animal Fat
0210,Preserved Meat
0301,Live Fish
0302,Non-fillet Fresh Fish
0303,Non-fillet Frozen Fish
0304,Fish Fillets
0305,Processed Fish
0306,Crustaceans
0307,Molluscs
0401,Milk
0402,Concentrated Milk
0403,Fermented Milk Products
0404,Whey
0405,Butter
0406,Cheese
0407,Eggs
0408,Processed Egg Products
0409,Honey
0410,Other Edible Animal Products
0501,Human Hair
0502,Pig Hair
0503,Horse Hair
0504,Animal Organs
0505,Bird Feathers and Skins
0506,Processed Bones
0507,Raw Bones
0508,Coral and Shells
0509,Sponges
0510,Pharmaceutical Animal Products
0511,Other Inedible Animal Products
0601,Bulbs and Roots
0602,Other Live Plants
0603,Cut Flowers
0604,Foliage
0701,Potatoes
0702,Tomatoes
0703,Onions
0704,Cabbages
0705,Lettuce
0706,Root Vegetables
0707,Cucumbers
0708,Legumes
0709,Other Vegetables
0710,Frozen Vegetables
0711,Preserved Vegetables
0712,Dried Vegetables
0713,Dried Legumes
0714,Cassava
0801,"Coconuts, Brazil Nuts, and Cashews"
0802,Other Nuts
0803,Bananas
0804,Tropical Fruits
0805,Citrus
0806,Grapes
0807,Melons
0808,Apples and Pears
0809,Pitted Fruits
0810,Other Fruits
0811,Frozen Fruits and Nuts
0812,Preserved Fruits and Nuts
0813,Dried Fruits
0814,Citrus and Melon Peels
0901,Coffee
0902,Tea
0903,Maté
0904,Pepper
0905,Vanilla
0906,Cinnamon
0907,Cloves
0908,Nutmeg
0909,Spice Seeds
0910,Ginger
1001,Wheat
1002,Rye
1003,Barley
1004,Oats
1005,Corn
1006,Rice
1007,Sorghum
1008,Buckwheat
1101,Wheat Flours
1102,Cereal Flours
1103,Cereal Meal and Pellets
1104,Processed Cereals
1105,Potato Flours
1106,Legume Flours
1107,Malt
1108,Starches
1109,Wheat Gluten
1201,Soybeans
1202,Ground Nuts
1203,Copra
1204,Linseed
1205,Rapeseed
1206,Sunflower Seeds
1207,Other Oily Seeds
1208,Oil Seed Flower
1209,Sowing Seeds
1210,Hops
1211,Perfume Plants
1212,Locust Beans
1213,Cereal Straws
1214,Forage Crops
1301,Insect Resins
1302,Vegetable Saps
1401,Vegetable Plaiting Materials
1402,Vegetable Stuffing Materials
1403,Vegetable Brush Materials
1404,Other Vegetable Products
1501,Pig and Poultry Fat
1502,"Bovine, Sheep, and Goat Fat"
1503,Lard
1504,Fish Oil
1505,Wool Grease
1506,Other Animal Fats
1507,Soybean Oil
1508,Ground Nut Oil
1509,Pure Olive Oil
1510,Olive Oil
1511,Palm Oil
1512,Seed Oils
1513,Coconut Oil
1514,Rapeseed Oil
1515,Other Pure Vegetable Oils
1516,Other Vegetable Oils
1517,Margarine
1518,Inedible Fats and Oils
1519,Stearic Acid
1520,Glycerol
1521,Waxes
1522,Fat and Oil Residues
1601,Sausages
1602,Other Prepared Meat
1603,Animal Extracts
1604,Processed Fish
1605,Processed Crustaceans
1701,Raw Sugar
1702,Other Sugars
1703,Molasses
1704,Confectionery Sugar
1801,Cocoa Beans
1802,Cocoa Shells
1803,Cocoa Paste
1804,Cocoa Butter
1805,Cocoa Powder
1806,Chocolate
1901,Malt Extract
1902,Pasta
1903,Tapioca
1904,Prepared Cereals
1905,Baked Goods
2001,Pickled Foods
